TIME,SOIL
2020-01-19 10:36:32.525222,3.5
2020-01-19 10:36:33.107502,5.1
2020-01-19 10:36:33.500314,6.8
2020-01-19 10:36:34.079986,8.1
2020-01-19 10:36:34.585885,7.3
2020-01-19 10:36:35.228022,6.6
2020-01-19 10:36:35.786739,5.9
2020-01-19 10:36:36.084149,5.3
2020-01-19 10:36:36.517996,4.8
2020-01-19 10:36:37.339995,4.3
2020-01-19 10:36:37.786744,3.9
2020-01-19 10:36:37.998034,3.5
2020-01-19 10:36:38.598399,3.1
2020-01-19 10:36:39.047422,2.8
2020-01-19 10:36:39.643390,2.5
2020-01-19 10:36:40.059563,2.3
2020-01-19 10:36:40.631318,2.1
2020-01-19 10:36:41.110174,1.9
2020-01-19 10:36:41.575449,1.7
2020-01-19 10:36:42.083297,1.5
2020-01-19 10:36:42.625416,1.4
2020-01-19 10:36:43.021043,1.2
2020-01-19 10:36:43.631461,1.1
2020-01-19 10:36:44.108886,1.0
2020-01-19 10:36:44.595665,0.9
2020-01-19 10:36:45.027431,0.8
2020-01-19 10:36:45.567565,0.7
2020-01-19 10:36:46.021314,0.6
2020-01-19 10:36:47.185133,0.5
2020-01-19 10:36:48.175935,0.4
2020-01-19 10:36:49.134694,0.3
2020-01-19 10:36:51.092077,0.2
2020-01-19 10:36:53.136784,0.1
2020-01-19 10:36:58.617812,0.0
2020-01-19 10:37:02.157747,1.7
2020-01-19 10:37:02.581023,4.0
2020-01-19 10:37:03.139326,6.2
2020-01-19 10:37:03.611515,8.1
2020-01-19 10:37:04.108363,9.7
2020-01-19 10:37:04.568158,11.0
2020-01-19 10:37:05.107106,11.9
2020-01-19 10:37:05.561472,12.5
2020-01-19 10:37:06.148236,12.1
2020-01-19 10:37:06.629966,11.0
2020-01-19 10:37:07.130894,9.9
2020-01-19 10:37:07.550229,8.9
2020-01-19 10:37:08.192193,8.0
2020-01-19 10:37:08.636367,7.2
2020-01-19 10:37:09.084439,6.5
2020-01-19 10:37:09.573818,5.8
2020-01-19 10:37:10.231787,5.2
2020-01-19 10:37:10.566450,5.0
2020-01-19 10:37:11.204248,5.4
2020-01-19 10:37:11.560110,5.6
2020-01-19 10:37:12.149029,5.0
2020-01-19 10:37:12.575367,4.5
2020-01-19 10:37:13.207016,4.0
2020-01-19 10:37:13.586669,3.6
2020-01-19 10:37:14.196033,34.5
2020-01-19 10:37:14.580601,35.3
2020-01-19 10:37:15.095675,35.9
2020-01-19 10:37:15.594969,36.1
2020-01-19 10:37:17.097813,36.6
2020-01-19 10:37:18.057436,37.1
2020-01-19 10:37:18.484871,37.6
2020-01-19 10:37:18.593991,38.0
2020-01-19 10:37:19.080592,0.0
2020-01-19 10:37:19.659242,2.4
2020-01-19 10:37:20.074768,34.8
2020-01-19 10:37:20.639078,34.9
2020-01-19 10:37:21.087945,35.0
2020-01-19 10:37:21.712684,35.1
2020-01-19 10:37:22.172967,35.2
2020-01-19 10:37:23.182957,35.3
2020-01-19 10:37:24.143685,35.4
2020-01-19 10:37:26.239609,0.0
2020-01-19 10:37:30.661448,2.1
2020-01-19 10:37:31.176073,29.2
2020-01-19 10:37:31.660171,28.7
2020-01-19 10:37:32.113288,0.0
2020-01-19 10:37:41.273491,38.1
2020-01-19 10:37:41.599296,38.4
2020-01-19 10:37:42.245415,38.8
2020-01-19 10:37:42.632481,39.1
2020-01-19 10:37:43.209890,39.4
2020-01-19 10:37:43.605115,39.7
2020-01-19 10:37:44.216896,0.0
2020-01-19 10:37:54.198836,32.0
2020-01-19 10:37:54.635665,30.8
2020-01-19 10:37:55.231246,0.0
2020-01-19 10:37:57.200399,0.4
2020-01-19 10:37:57.690069,1.6
2020-01-19 10:37:58.269885,1.4
2020-01-19 10:37:58.739032,1.3
2020-01-19 10:37:59.201634,1.9
2020-01-19 10:37:59.716056,2.8
2020-01-19 10:38:00.267564,2.6
2020-01-19 10:38:00.651469,2.3
2020-01-19 10:38:01.244503,2.1
2020-01-19 10:38:01.665617,3.8
2020-01-19 10:38:02.242009,3.4
2020-01-19 10:38:02.638948,3.1
2020-01-19 10:38:03.219960,3.2
2020-01-19 10:38:03.671959,2.8
2020-01-19 10:38:04.202682,2.6
2020-01-19 10:38:04.664358,2.3
2020-01-19 10:38:05.211936,2.1
2020-01-19 10:38:05.698034,1.9
2020-01-19 10:38:06.282186,1.7
2020-01-19 10:38:06.674457,1.5
2020-01-19 10:38:07.318064,1.4
2020-01-19 10:38:07.644753,1.2
2020-01-19 10:38:08.267774,1.1
2020-01-19 10:38:08.658830,1.0
2020-01-19 10:38:09.276631,0.9
2020-01-19 10:38:10.048397,0.8
2020-01-19 10:38:10.488156,0.7
2020-01-19 10:38:11.152689,0.6
2020-01-19 10:38:11.790814,0.5
2020-01-19 10:38:12.727613,1.7
2020-01-19 10:38:13.177110,32.3
2020-01-19 10:38:13.776527,32.2
2020-01-19 10:38:14.152090,31.6
2020-01-19 10:38:14.724217,31.0
2020-01-19 10:38:15.183081,30.5
2020-01-19 10:38:15.759807,30.2
2020-01-19 10:38:16.177128,29.9
2020-01-19 10:38:16.776139,29.5
2020-01-19 10:38:17.168932,29.0
2020-01-19 10:38:17.801707,0.0
2020-01-19 10:38:21.761935,33.1
2020-01-19 10:38:22.231840,33.3
2020-01-19 10:38:22.777570,33.1
2020-01-19 10:38:23.208410,32.9
2020-01-19 10:38:23.787612,32.3
2020-01-19 10:38:24.201994,31.5
2020-01-19 10:38:24.727756,30.2
2020-01-19 10:38:25.177417,29.1
2020-01-19 10:38:25.769753,27.9
2020-01-19 10:38:26.189444,0.0
2020-01-19 10:38:27.276693,0.6
2020-01-19 10:38:27.764675,1.9
2020-01-19 10:38:28.251125,3.4
2020-01-19 10:38:28.739589,5.0
2020-01-19 10:38:29.333568,6.7
2020-01-19 10:38:29.677562,8.5
2020-01-19 10:38:30.331294,10.4
2020-01-19 10:38:30.708690,12.3
2020-01-19 10:38:31.308930,14.0
2020-01-19 10:38:31.777612,15.5
2020-01-19 10:38:32.250833,16.9
2020-01-19 10:38:32.714938,18.1
2020-01-19 10:38:33.290706,18.5
2020-01-19 10:38:33.709052,16.7
2020-01-19 10:38:34.284877,15.0
2020-01-19 10:38:34.722704,13.5
2020-01-19 10:38:35.318892,12.2
2020-01-19 10:38:35.811321,11.0
2020-01-19 10:38:36.259181,9.9
2020-01-19 10:38:36.747231,8.9
2020-01-19 10:38:37.356442,8.0
2020-01-19 10:38:37.720112,8.1
2020-01-19 10:38:38.221874,9.2
2020-01-19 10:38:38.754261,10.2
2020-01-19 10:38:39.271139,11.4
2020-01-19 10:38:39.767575,12.5
2020-01-19 10:38:40.253501,13.8
2020-01-19 10:38:40.723516,14.8
2020-01-19 10:38:41.361448,13.4
2020-01-19 10:38:41.829529,12.0
2020-01-19 10:38:42.358901,10.8
2020-01-19 10:38:42.823940,9.7
2020-01-19 10:38:43.308198,8.8
2020-01-19 10:38:43.818750,7.9
2020-01-19 10:38:44.257199,7.1
2020-01-19 10:38:44.717440,6.4
2020-01-19 10:38:45.335341,5.8
2020-01-19 10:38:45.728217,5.2
2020-01-19 10:38:46.326733,4.7
2020-01-19 10:38:46.721732,4.2
2020-01-19 10:38:47.316411,3.8
2020-01-19 10:38:47.753565,3.4
2020-01-19 10:38:48.309297,3.1
2020-01-19 10:38:48.766490,2.8
2020-01-19 10:38:49.278199,2.5
2020-01-19 10:38:49.832999,2.2
2020-01-19 10:38:50.291158,2.0
2020-01-19 10:38:50.828597,1.8
2020-01-19 10:38:51.298626,1.6
2020-01-19 10:38:51.839857,1.5
2020-01-19 10:38:52.283653,1.3
2020-01-19 10:38:52.833324,1.2
2020-01-19 10:38:53.344542,1.1
2020-01-19 10:38:53.828304,1.0
2020-01-19 10:38:54.332229,0.9
2020-01-19 10:38:54.745932,0.8
2020-01-19 10:38:55.323357,0.7
2020-01-19 10:38:55.720810,0.6
2020-01-19 10:38:56.820188,0.5
2020-01-19 10:38:57.791351,0.4
2020-01-19 10:38:58.850091,0.3
2020-01-19 10:39:00.320199,0.2
2020-01-19 10:39:02.880914,0.1
2020-01-19 10:39:08.336155,0.0
2020-01-19 10:47:14.054410,0.5
2020-01-19 10:47:14.498399,1.7
2020-01-19 10:47:15.038371,2.9
2020-01-19 10:47:15.529579,4.1
2020-01-19 10:47:16.109463,5.2
2020-01-19 10:47:16.484153,5.7
2020-01-19 10:47:17.171819,6.0
2020-01-19 10:47:17.496813,6.3
2020-01-19 10:47:18.073355,5.6
2020-01-19 10:47:18.492299,5.1
2020-01-19 10:47:19.041100,4.6
2020-01-19 10:47:19.503180,4.1
2020-01-19 10:47:20.078171,3.7
2020-01-19 10:47:20.534656,3.3
2020-01-19 10:47:21.155409,3.0
2020-01-19 10:47:21.568618,2.7
2020-01-19 10:47:22.109586,2.4
2020-01-19 10:47:22.504734,2.2
2020-01-19 10:47:23.096641,2.0
2020-01-19 10:47:23.555618,1.8
2020-01-19 10:47:24.120589,1.6
2020-01-19 10:47:24.512578,1.4
2020-01-19 10:47:25.157641,1.3
2020-01-19 10:47:25.952563,1.2
2020-01-19 10:47:26.460252,1.0
2020-01-19 10:47:26.550568,0.9
2020-01-19 10:47:27.040744,0.8
2020-01-19 10:47:28.081623,0.7
2020-01-19 10:47:28.503243,0.6
2020-01-19 10:47:29.588740,0.5
2020-01-19 10:47:30.134340,0.4
2020-01-19 10:47:31.590628,0.3
2020-01-19 10:47:33.140567,0.2
2020-01-19 10:47:35.616769,0.1
2020-01-19 10:47:40.616246,0.0
2020-01-19 10:59:11.035889,2.1
2020-01-19 10:59:11.709129,4.0
2020-01-19 10:59:12.105405,5.5
2020-01-19 10:59:12.534243,4.9
2020-01-19 10:59:13.041825,4.5
2020-01-19 10:59:13.602956,4.0
2020-01-19 10:59:14.129280,3.6
2020-01-19 10:59:14.652927,3.2
2020-01-19 10:59:15.048236,2.9
2020-01-19 10:59:15.571709,2.6
2020-01-19 10:59:16.135768,2.4
2020-01-19 10:59:16.546730,2.1
2020-01-19 10:59:17.073138,1.9
2020-01-19 10:59:17.652963,1.7
2020-01-19 10:59:18.048190,1.6
2020-01-19 10:59:18.646779,1.4
2020-01-19 10:59:19.041789,1.3
2020-01-19 10:59:19.546784,1.1
